Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
Scarborough,43.772200000000055,-79.25665999999995,Subway,4c0542f80d0e0f478212059a,320,43.77147702024787,-79.25280464787159,Sandwich Place,1,6.3,0,0,1
Scarborough,43.772200000000055,-79.25665999999995,Subway,4c0542f80d0e0f478212059a,320,43.77147702024787,-79.25280464787159,Sandwich Place,1,6.2,1,0,3
Scarborough,43.772200000000055,-79.25665999999995,Subway,4c0542f80d0e0f478212059a,320,43.77147702024787,-79.25280464787159,Sandwich Place,0,6.3,0,0,1
Scarborough,43.772200000000055,-79.25665999999995,Subway,4c0542f80d0e0f478212059a,320,43.77147702024787,-79.25280464787159,Sandwich Place,1,6.2,1,0,0
Scarborough,43.772200000000055,-79.25665999999995,Subway,4f628870e4b04b2441e12431,325,43.77510207641168,-79.25711450492464,Sandwich Place,1,6.3,0,0,1
Scarborough,43.772200000000055,-79.25665999999995,Subway,4f628870e4b04b2441e12431,325,43.77510207641168,-79.25711450492464,Sandwich Place,1,6.2,1,0,3
Scarborough,43.772200000000055,-79.25665999999995,Subway,4f628870e4b04b2441e12431,325,43.77510207641168,-79.25711450492464,Sandwich Place,0,6.3,0,0,1
Scarborough,43.772200000000055,-79.25665999999995,Subway,4f628870e4b04b2441e12431,325,43.77510207641168,-79.25711450492464,Sandwich Place,1,6.2,1,0,0
East York,43.691800000000065,-79.32702999999998,Subway,4f3bc224e4b0c533fa75301b,253,43.69002257898042,-79.3250541871807,Sandwich Place,1,6.3,0,0,1
East York,43.691800000000065,-79.32702999999998,Subway,4f3bc224e4b0c533fa75301b,253,43.69002257898042,-79.3250541871807,Sandwich Place,1,6.2,1,0,3
East York,43.691800000000065,-79.32702999999998,Subway,4f3bc224e4b0c533fa75301b,253,43.69002257898042,-79.3250541871807,Sandwich Place,0,6.3,0,0,1
East York,43.691800000000065,-79.32702999999998,Subway,4f3bc224e4b0c533fa75301b,253,43.69002257898042,-79.3250541871807,Sandwich Place,1,6.2,1,0,0
York,43.692080000000026,-79.47862999999995,Subway,5143b746e4b0ff6e207da7e4,422,43.690218303002176,-79.47404997234327,Sandwich Place,1,6.3,0,0,1
York,43.692080000000026,-79.47862999999995,Subway,5143b746e4b0ff6e207da7e4,422,43.690218303002176,-79.47404997234327,Sandwich Place,1,6.2,1,0,3
York,43.692080000000026,-79.47862999999995,Subway,5143b746e4b0ff6e207da7e4,422,43.690218303002176,-79.47404997234327,Sandwich Place,0,6.3,0,0,1
York,43.692080000000026,-79.47862999999995,Subway,5143b746e4b0ff6e207da7e4,422,43.690218303002176,-79.47404997234327,Sandwich Place,1,6.2,1,0,0
Scarborough,43.772200000000055,-79.25665999999995,Moxie's Classic Grill,4ae32f7ff964a520699121e3,447,43.776218527245206,-79.25681965472798,American Restaurant,47,6.5,85,1,42
