Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
Lower North Philadelphia,39.96415799999999,-75.1988025,Quality Taste Jamaican Restaurant,5132abf0e4b09cc3655a5742,351,39.96313,-75.20269499999999,Caribbean Restaurant
Lower North Philadelphia,39.96415799999999,-75.1988025,Redcap's Corner,49cf729ff964a520a85a1fe3,318,39.961315,-75.199243,Toy / Game Store
Lower North Philadelphia,39.96415799999999,-75.1988025,FRESH DONUTS,4bd621be6f649521336570ec,225,39.96216759565701,-75.19931254967717,Bakery
Lower North Philadelphia,39.96415799999999,-75.1988025,Jollie's West,4ee6c6d6490141636c089c23,491,39.95998591757877,-75.19691144084469,Hookah Bar
Lower North Philadelphia,39.96415799999999,-75.1988025,Golden Tea House,522fba3f498e8dc38fa4ec94,497,39.96048356389921,-75.20211782944303,Piano Bar
Lower North Philadelphia,39.96415799999999,-75.1988025,Family Dollar,599e6d368194fc624a277f39,492,39.964815,-75.204508,Discount Store
Lower North Philadelphia,39.96415799999999,-75.1988025,Cricket Wireless Authorized Retailer,4e397a52fa763bfcc36e7213,461,39.963993,-75.204205,Mobile Phone Shop
Lower North Philadelphia,39.96415799999999,-75.1988025,Balance of Life Massage Therapy,4edbf776f9f4181fa4476bd8,168,39.964948,-75.200491,Massage Studio
Lower North Philadelphia,39.96415799999999,-75.1988025,Hong Kong Restaurant,4f321b9b19836c91c7b6a731,134,39.964774,-75.19744,Food
Lower North Philadelphia,39.96415799999999,-75.1988025,S&S Cleaning Services,54f026e5498edddc47ce9bf1,91,39.96399729519691,-75.19774675369263,Dry Cleaner
Lower North Philadelphia,39.96415799999999,-75.1988025,Spring Garden Street & North 38th Street,536ecfa411d2998ed6e6a518,249,39.962286355657504,-75.19719958305359,Intersection
Lower North Philadelphia,39.96415799999999,-75.1988025,Spring Chinese Restaurant,4c48c42dfbafc928aec805da,476,39.96016037561025,-75.19679092706006,Chinese Restaurant
Lower North Philadelphia,39.96415799999999,-75.1988025,Bart’s Bagels,5e1a12ed7497be0008fff69f,267,39.962684,-75.201273,Bagel Shop
Lower North Philadelphia,39.96415799999999,-75.1988025,New Angle Lounge,4dfa89731520879dfb8bb957,272,39.96178826429831,-75.19958553800227,Dive Bar
Lower North Philadelphia,39.96415799999999,-75.1988025,The Ellen Powell Tiberino Memorial Museum,4c12e660a5eb76b0b51abfb7,271,39.961823602601996,-75.19787623309904,Art Gallery
Lower North Philadelphia,39.96415799999999,-75.1988025,39th & Lancaster Ave,56965684498ec0def4513020,277,39.96262679934657,-75.20136296496912,Light Rail Station
Lower North Philadelphia,39.96415799999999,-75.1988025,liliglow,580ab1eb38fa40c9520bac21,277,39.961772,-75.199757,Boutique
Lower North Philadelphia,39.96415799999999,-75.1988025,Lancaster Hoagie City,4f32657819836c91c7d3b6b9,294,39.963699,-75.202202,Food
Lower North Philadelphia,39.96415799999999,-75.1988025,TheSilk Tent,5ccdf38b625a66002c3c9e66,297,39.961532,-75.199435,Jewelry Store
Lower North Philadelphia,39.96415799999999,-75.1988025,Hair Thang,4c7eebbd1009a0930208464e,305,39.962491,-75.201649,Cosmetics Shop
Lower North Philadelphia,39.96415799999999,-75.1988025,Edible Arrangements,5e1e5491c8d7a3000865a4e1,305,39.961465517201496,-75.19951926749849,Gift Shop
Lower North Philadelphia,39.96415799999999,-75.1988025,Bodyrock Bootcamp & Executive Training Gym,4c2902e4ce3fc92887156e88,311,39.96139874714618,-75.1993802189827,Gym / Fitness Center
Lower North Philadelphia,39.96415799999999,-75.1988025,Prayer and Safe Temple Cafe,4f32a7ad19836c91c7ecdf48,313,39.963189,-75.202251,Food
Lower North Philadelphia,39.96415799999999,-75.1988025,Crown Fried Chicken,4f3248b419836c91c7c87f55,313,39.963299,-75.202301,Food
Lower North Philadelphia,39.96415799999999,-75.1988025,Chic Afrique,4e39c62d7d8b6bed20b2af49,317,39.961422,-75.199843,Cosmetics Shop
